Credit Score,Finance Type,LTV,Binded GAP
599,Purchase,1.088,0
599,Refi,1.463,0.82
599,Refi,1.030,0
599,Refi,1.092,0.93
599,Refi,1.114,0.69
599,Refi,1.148,0.69
599,Refi,1.149,0.69
599,Refi,1.158,0.69
599,Refi,1.173,0.69
599,Refi,1.184,0.69
599,Refi,1.340,0
599,Refi,1.340,0.72
599,Refi,1.354,0.72
599,Refi,1.394,0.72
599,Refi,1.224,0.8
599,Refi,1.227,0
599,Refi,1.247,0
599,Refi,1.267,0.8
599,Refi,1.282,0.8
599,Refi,1.291,0.8
599,Refi,1.307,0.8
600,Purchase,1.514,1
600,Purchase,1.509,1
600,Purchase,1.124,0.91
600,Purchase,1.165,0
600,Purchase,0.979,0.63
600,Refi,1.428,0.82
600,Refi,1.462,0.82
600,Refi,1.471,0.82
600,Purchase,1.198,0.91
600,Refi,1.151,0.69
600,Refi,1.185,0.69
600,Refi,1.332,0.72
600,Refi,1.354,0
600,Refi,1.231,0.8
600,Refi,1.238,0.8
600,Refi,1.259,0.8
601,Refi,1.655,1
601,Purchase,0.867,1
601,Refi,1.479,0.7
601,Purchase,1.099,0.45
601,Purchase,1.105,0
601,Purchase,1.266,0
601,Refi,1.415,0.7
601,Refi,0.986,0.43
601,Refi,0.999,0.82
601,Refi,1.033,0.7
601,Refi,1.042,0
601,Refi,1.064,0.7
601,Refi,1.068,0.7
601,Refi,1.091,0
601,Refi,1.283,0
601,Refi,1.338,0.74
601,Refi,1.374,0.74
601,Refi,1.375,0
602,Refi,0.847,1
602,Refi,1.444,0.7
602,Purchase,1.153,0.82
602,Refi,1.160,0.75
602,Refi,1.354,0.74
602,Refi,1.373,0
602,Refi,1.40145,0.74
602,Refi,1.428,0.7
602,Refi,1.440,0.7
602,Refi,1.494,0.7
602,Refi,0.991,0
602,Purchase,1.168,0.82
602,Refi,1.012,0.7
602,Refi,1.255,0.61
602,Refi,1.293,0
602,Refi,1.303,0.61
602,Refi,1.111,0.75
602,Refi,1.125,0.75
602,Refi,1.138,0
602,Refi,1.145,0.75
602,Refi,1.195,0.75
602,Refi,1.196,0.75
602,Refi,1.207,0.75
602,Refi,1.368,0.74
603,Refi,1.259,0
603,Refi,1.332,0
603,Refi,1.40170,0.74
603,Purchase,1.214,0
603,Refi,1.417,0.7
603,Purchase,1.108,0.45
603,Purchase,1.135,0.82
603,Purchase,1.175,0.82
603,Refi,1.078,0
603,Refi,1.214,0.61
603,Refi,1.219,0.61
603,Refi,1.239,0.61
603,Refi,1.130,0.75
603,Refi,1.134,0.75
603,Refi,1.171,0.75
603,Refi,1.210,0.75
603,Refi,1.341,0.74
603,Refi,1.355,0.74
603,Refi,1.358,0.74
603,Refi,1.373,0.74
603,Refi,1.373,0.74
604,Refi,0.682,1
604,Purchase,1.437,0.25
604,Purchase,0.773,0
604,Purchase,1.258,0.33
604,Purchase,1.261,0.33
604,Refi,1.40133,0.74
604,Purchase,1.298,0
604,Refi,0.970,0.82
604,Refi,1.257,0.61
604,Refi,1.298,0.61
604,Refi,1.195,0
604,Refi,1.210,0
604,Refi,1.344,0.74
605,Purchase,1.462,0
605,Refi,1.025,0.7
605,Refi,1.122,0.75
605,Refi,1.334,0
605,Refi,1.432,0
605,Refi,0.936,0.82
605,Refi,0.994,0.82
605,Purchase,1.032,0
605,Purchase,1.119,0
605,Purchase,1.127,0.82
605,Refi,1.036,0.7
605,Refi,1.039,0.7
605,Refi,1.060,0.7
605,Refi,1.060,0
605,Refi,1.061,0.7
605,Refi,1.067,0.7
605,Refi,1.301,0
605,Refi,1.305,0.61
605,Refi,1.129,0.75
605,Refi,1.166,0.75
605,Refi,1.173,0.75
605,Refi,1.174,0
605,Refi,1.315,0.74
605,Refi,1.319,0.74
605,Refi,1.323,0.74
605,Refi,1.398,0
606,Refi,0.710,1
606,Refi,1.519,0
606,Refi,1.544,0.75
606,Refi,1.130,0
606,Refi,1.439,0
606,Refi,0.990,0.82
606,Purchase,1.021,0
606,Purchase,1.060,0
606,Purchase,1.067,0.45
606,Refi,1.054,0.7
606,Refi,1.078,0.7
606,Refi,1.105,0
606,Refi,1.234,0
606,Refi,1.250,0.61
606,Refi,1.253,0
606,Refi,1.318,0.74
606,Refi,1.329,0.74
606,Refi,1.400,0.74
607,Purchase,0.666,0.67
607,Refi,1.511,0.75
607,Purchase,1.415,0
607,Refi,1.237,0
607,Purchase,1.211,0
607,Refi,0.915,0.82
607,Refi,0.954,0.82
607,Refi,1.076,0.7
607,Refi,1.085,0.7
607,Refi,1.091,0
607,Refi,1.091,0.7
607,Refi,1.100,0
607,Refi,1.228,0
607,Refi,1.144,0
607,Refi,1.192,0.75
607,Refi,1.348,0.74
607,Refi,1.350,0.74
607,Refi,1.359,0
607,Refi,1.365,0
607,Refi,1.366,0
607,Refi,1.40354,0.74
608,Refi,0.750,1
608,Purchase,0.968,0.8
608,Purchase,1.197,0
608,Purchase,1.202,0.82
608,Purchase,0.931,0.8
608,Refi,1.444,0
608,Purchase,1.095,0.45
608,Purchase,1.155,0.82
608,Purchase,1.201,0.82
608,Refi,1.037,0.7
608,Refi,1.069,0.7
608,Refi,1.214,0.61
608,Refi,1.261,0
608,Refi,1.292,0.61
608,Refi,1.294,0.61
608,Refi,1.296,0.61
608,Refi,1.111,0
608,Refi,1.136,0.75
608,Refi,1.194,0.75
608,Refi,1.198,0.75
608,Refi,1.318,0.74
608,Refi,1.322,0.74
608,Refi,1.332,0.74
608,Refi,1.334,0
608,Refi,1.372,0.74
609,Purchase,1.393,1
609,Refi,0.809,1
609,Refi,1.600,0.75
609,Purchase,0.947,0.8
609,Purchase,1.088,0
609,Refi,1.267,0.61
609,Refi,1.289,0.61
609,Refi,1.309,0.61
609,Refi,1.386,0.74
609,Purchase,0.957,0.8
609,Refi,0.968,0
609,Purchase,1.081,0.45
609,Refi,1.109,0.7
609,Refi,1.011,0
609,Refi,1.244,0
609,Refi,1.251,0.61
609,Refi,1.275,0.61
609,Refi,1.284,0.61
609,Refi,1.123,0.75
609,Refi,1.156,0.75
609,Refi,1.189,0.75
609,Refi,1.334,0.74
609,Refi,1.348,0.74
609,Refi,1.352,0.74
609,Refi,1.376,0
609,Refi,1.398,0.74
609,Refi,1.398,0.74
610,Purchase,0.610,0.67
610,Purchase,0.691,0
610,Purchase,1.492,0
610,Refi,0.864,1
610,Purchase,0.952,0
610,Refi,1.282,0
610,Refi,1.180,0.75
610,Refi,0.947,0.82
610,Purchase,1.036,0
610,Purchase,1.179,0.8
610,Refi,1.024,0.7
610,Refi,1.279,0
610,Refi,1.121,0.75
610,Refi,1.147,0
610,Refi,1.40332,0
611,Purchase,1.134,0.8
611,Purchase,1.216,0.6
611,Refi,0.942,0.82
611,Refi,1.423,0.71
611,Refi,1.145,0.81
611,Refi,0.852,0
611,Purchase,1.386,0.63
