Credit Score,Finance Type,LTV,Loans Booked,
602,Refi,1.44,10,
602,Refi,1.49,10,
602,Purchase,1.15,11,
602,Purchase,1.17,11,
603,Refi,1.08,27,
603,Refi,1.13,32,
603,Refi,1.13,32,
603,Refi,1.17,32,
603,Refi,1.21,32,
603,Refi,1.21,31,
603,Refi,1.22,31,
603,Refi,1.24,31,
603,Refi,1.26,31,
603,Refi,1.33,43,
603,Refi,1.34,43,
603,Refi,1.36,43,
603,Refi,1.36,43,
603,Refi,1.37,43,
603,Refi,1.37,43,
603,Refi,1.40,43,
603,Refi,1.42,10,
603,Purchase,1.11,11,
603,Purchase,1.14,11,
603,Purchase,1.18,11,
603,Purchase,1.21,6,
604,Refi,0.68,2,
604,Refi,0.97,11,
604,Refi,1.19,32,
604,Refi,1.21,32,
604,Refi,1.26,31,
604,Refi,1.30,31,
604,Refi,1.34,43,
604,Refi,1.40,43,
604,Purchase,0.77,1,
604,Purchase,1.26,6,
604,Purchase,1.26,6,
604,Purchase,1.30,6,
604,Purchase,1.44,4,
605,Refi,0.94,11,
605,Refi,0.99,11,
605,Refi,1.03,27,
605,Refi,1.04,27,
605,Refi,1.04,27,
605,Refi,1.06,27,
605,Refi,1.06,27,
605,Refi,1.06,27,
605,Refi,1.07,27,
605,Refi,1.12,32,
605,Refi,1.13,32,
605,Refi,1.17,32,
605,Refi,1.17,32,
605,Refi,1.17,32,
605,Refi,1.30,31,
605,Refi,1.30,31,
605,Refi,1.32,43,
605,Refi,1.32,43,
605,Refi,1.32,43,
605,Refi,1.33,43,
605,Refi,1.40,43,
605,Refi,1.43,10,
605,Purchase,1.03,11,
605,Purchase,1.12,11,
605,Purchase,1.13,11,
605,Purchase,1.46,4,
606,Refi,0.71,2,
606,Refi,0.99,11,
606,Refi,1.05,27,
606,Refi,1.08,27,
606,Refi,1.10,27,
606,Refi,1.13,32,
606,Refi,1.23,31,
606,Refi,1.25,31,
606,Refi,1.25,31,
606,Refi,1.32,43,
606,Refi,1.33,43,
606,Refi,1.40,43,
606,Refi,1.44,10,
606,Refi,1.52,4,
606,Refi,1.54,4,
606,Purchase,1.02,11,
606,Purchase,1.06,11,
606,Purchase,1.07,11,
607,Purchase,0.67,3,
607,Refi,0.91,11,
607,Refi,0.95,11,
607,Refi,1.08,27,
607,Refi,1.08,27,
607,Refi,1.09,27,
607,Refi,1.09,27,
607,Refi,1.10,27,
607,Refi,1.14,32,
607,Refi,1.19,32,
607,Refi,1.23,31,
607,Refi,1.24,31,
607,Refi,1.35,43,
607,Refi,1.35,43,
607,Refi,1.36,43,
607,Refi,1.37,43,
607,Refi,1.37,43,
607,Refi,1.40,43,
607,Refi,1.51,4,
607,Purchase,1.21,6,
607,Purchase,1.41,4,
608,Refi,0.75,2,
608,Refi,1.04,27,
608,Refi,1.07,27,
608,Refi,1.11,32,
608,Refi,1.14,32,
608,Refi,1.19,32,
608,Refi,1.20,32,
608,Refi,1.21,31,
608,Refi,1.26,31,
608,Refi,1.29,31,
608,Refi,1.29,31,
608,Refi,1.30,31,
608,Refi,1.32,43,
608,Refi,1.32,43,
608,Refi,1.33,43,
608,Refi,1.33,43,
608,Refi,1.37,43,
608,Refi,1.44,10,
608,Purchase,0.93,5,
608,Purchase,0.97,5,
608,Purchase,1.09,11,
608,Purchase,1.15,11,
608,Purchase,1.20,11,
608,Purchase,1.20,11,
608,Purchase,1.20,11,
609,Refi,0.81,2,
609,Refi,0.97,11,
609,Refi,1.01,27,
609,Refi,1.11,14,
609,Refi,1.12,32,
609,Refi,1.16,32,
609,Refi,1.19,32,
609,Refi,1.24,31,
609,Refi,1.25,31,
609,Refi,1.27,31,
609,Refi,1.27,31,
609,Refi,1.28,31,
609,Refi,1.29,31,
609,Refi,1.31,31,
609,Refi,1.33,43,
609,Refi,1.35,43,
609,Refi,1.35,43,
609,Refi,1.38,43,
609,Refi,1.39,43,
609,Refi,1.40,43,
609,Refi,1.40,43,
609,Refi,1.60,4,
609,Purchase,0.95,5,
609,Purchase,0.96,5,
609,Purchase,1.08,11,
609,Purchase,1.09,11,
609,Purchase,1.39,1,
610,Purchase,0.61,3,
610,Purchase,0.69,3,
610,Refi,0.86,2,
610,Refi,0.95,11,
610,Refi,1.02,14,
610,Refi,1.12,32,
610,Refi,1.15,32,
610,Refi,1.18,32,
610,Refi,1.28,31,
610,Refi,1.28,31,
610,Refi,1.40,43,
610,Purchase,0.95,5,
610,Purchase,1.04,11,
610,Purchase,1.18,11,
610,Purchase,1.49,4,
611,Refi,0.85,6,
611,Refi,0.94,15,
611,Refi,1.00,15,
611,Refi,1.07,14,
611,Refi,1.10,14,
611,Refi,1.13,32,
611,Refi,1.14,32,
611,Refi,1.14,32,
611,Refi,1.19,32,
611,Refi,1.20,32,
611,Refi,1.31,36,
611,Refi,1.33,36,
611,Refi,1.35,36,
611,Refi,1.37,36,
611,Refi,1.40,36,
611,Refi,1.42,17,
611,Refi,1.51,17,
611,Purchase,1.05,19,
611,Purchase,1.13,10,
611,Purchase,1.13,10,
611,Purchase,1.22,10,
611,Purchase,1.24,10,
611,Purchase,1.39,8,
612,Purchase,0.64,2,
612,Refi,0.64,4,
612,Refi,1.01,14,
612,Refi,1.04,14,
612,Refi,1.06,14,
612,Refi,1.09,14,
612,Refi,1.13,32,
612,Refi,1.13,32,
612,Refi,1.16,32,
612,Refi,1.20,32,
612,Refi,1.23,36,
612,Refi,1.30,36,
612,Refi,1.31,36,
612,Refi,1.33,36,
612,Refi,1.33,36,
612,Refi,1.37,36,
612,Refi,1.37,36,
612,Refi,1.37,36,
612,Refi,1.38,36,
612,Refi,1.43,17,
612,Refi,1.44,17,
612,Refi,1.44,17,
612,Refi,1.45,17,
612,Refi,1.49,17,
612,Refi,1.49,17,
612,Purchase,1.00,6,
612,Purchase,1.01,6,
612,Purchase,1.02,19,
612,Purchase,1.06,19,
612,Purchase,1.07,19,
612,Purchase,1.12,10,
612,Purchase,1.13,10,
612,Purchase,1.17,10,
612,Purchase,1.38,8,
612,Purchase,1.43,2,
613,Refi,0.47,1,
613,Refi,0.91,15,
613,Refi,1.12,32,
613,Refi,1.15,32,
613,Refi,1.19,32,
613,Refi,1.28,36,
613,Refi,1.33,36,
613,Refi,1.37,36,
613,Refi,1.38,36,
613,Refi,1.40,36,
613,Purchase,1.14,10,
613,Purchase,1.29,10,
613,Purchase,1.34,8,
613,Purchase,1.34,8,
614,Purchase,0.78,4,
614,Refi,0.91,6,
614,Refi,0.96,15,
614,Refi,1.05,14,
614,Refi,1.16,32,
614,Refi,1.17,32,
614,Refi,1.17,32,
614,Refi,1.23,36,
614,Refi,1.25,36,
614,Refi,1.29,36,
614,Refi,1.29,36,
614,Refi,1.32,36,
614,Refi,1.32,36,
614,Refi,1.32,36,
614,Refi,1.34,36,
614,Refi,1.37,36,
614,Refi,1.42,17,
614,Refi,1.57,5,
614,Purchase,0.91,7,
614,Purchase,0.95,6,
614,Purchase,1.04,19,
614,Purchase,1.08,19,
614,Purchase,1.10,19,
614,Purchase,1.14,10,
614,Purchase,1.39,8,
615,Refi,0.85,6,
615,Refi,0.90,6,
615,Refi,0.95,15,
615,Refi,1.13,32,
615,Refi,1.15,32,
615,Refi,1.17,32,
615,Refi,1.20,32,
615,Refi,1.22,36,
615,Refi,1.24,36,
615,Refi,1.28,36,
615,Refi,1.29,36,
615,Refi,1.31,36,
615,Refi,1.34,36,
615,Refi,1.37,36,
615,Refi,1.40,36,
615,Refi,1.40,36,
615,Refi,1.42,17,
615,Refi,1.44,17,
615,Purchase,0.85,7,
615,Purchase,1.06,19,
615,Purchase,1.13,10,
