Credit Score,Finance Type,LTV,Total Gross Revenue Binding
627,Purchase,1.023854005,10345.1
627,Purchase,0.733746185,#REF!
627,Refi,1.190263872,17720.36
627,Purchase,1.176347475,14357.93
627,Purchase,1.019154321,10345.1
627,Refi,1.116633731,17720.36
627,Refi,1.276553563,27286.16
627,Refi,1.264748115,27286.16
627,Refi,1.423721212,16864.6
627,Refi,0.717866932,1806.64
628,Refi,1.358791886,31720.69
628,Purchase,0.989696835,3361.72
628,Refi,1.290549136,27286.16
628,Refi,0.991615851,4894.84
628,Purchase,0.951477209,3361.72
628,Refi,1.217640845,27286.16
628,Refi,1.385215176,31720.69
628,Refi,0.978462349,4894.84
628,Purchase,0.468087056,576.74
628,Refi,1.243994444,27286.16
628,Refi,1.347509554,31720.69
628,Refi,1.320390769,31720.69
629,Refi,1.409214742,31720.69
629,Refi,1.166320422,17720.36
629,Refi,1.460641551,16864.6
629,Refi,0.992277095,4894.84
629,Refi,1.286947088,27286.16
629,Purchase,1.13002517,14357.93
629,Refi,0.94816872,4894.84
629,Refi,1.070717875,9862.07
630,Refi,1.360601936,31720.69
630,Refi,1.100962014,9862.07
630,Refi,1.281345055,27286.16
630,Refi,1.342610338,31720.69
630,Purchase,1.338123128,12061.58
630,Purchase,0.72635443,1780.04
630,Purchase,1.01470989,10345.1
630,Refi,1.36606416,31720.69
630,Purchase,1.104525714,10345.1
630,Refi,1.212716574,27286.16
630,Refi,1.446481625,16864.6
631,Purchase,0.95798842,8544.17
631,Refi,1.189946599,23425.14
631,Refi,1.205865586,23425.14
631,Refi,1.47,8268.5
631,Refi,1.122163265,23425.14
631,Refi,1.394250407,21017.38
631,Refi,1.34709071,21017.38
631,Refi,1.055642705,4645.55
631,Refi,1.371375636,21017.38
631,Refi,1.409180786,21017.38
631,Refi,1.145896216,23425.14
631,Purchase,1.150145534,25940.64
631,Refi,1.364929524,21017.38
632,Refi,1.251532919,19130.86
632,Refi,0.911243388,6320.84
632,Refi,1.293632778,19130.86
632,Refi,1.178758177,23425.14
632,Refi,1.177580685,23425.14
632,Refi,1.369739552,21017.38
632,Purchase,1.050269366,11782.93
632,Refi,1.094624521,4645.55
632,Refi,1.179653846,23425.14
632,Refi,1.162735547,23425.14
632,Purchase,0.553705964,#REF!
632,Refi,0.881004665,4399.11
632,Purchase,1.207114591,25940.64
632,Purchase,0.513100346,2626.63
632,Refi,1.437680834,8268.5
633,Purchase,1.047311765,11782.93
633,Purchase,1.220688383,13532.02
633,Purchase,0.458072,608.33
633,Refi,1.179995859,23425.14
633,Purchase,1.335841742,8203.51
633,Refi,1.305646329,19130.86
633,Purchase,1.300209424,13532.02
633,Refi,0.902808108,4399.11
633,Refi,1.263918575,19130.86
633,Purchase,1.079888158,11782.93
633,Purchase,0.796858504,#REF!
633,Refi,1.1903488,23425.14
634,Refi,1.311832391,21017.38
634,Refi,1.392389071,21017.38
634,Purchase,1.202605634,25940.64
634,Purchase,1.398937652,8203.51
634,Purchase,1.275162617,13532.02
634,Refi,1.263703529,19130.86
634,Purchase,1.153853763,25940.64
634,Refi,1.140135117,23425.14
634,Refi,1.466547416,8268.5
635,Refi,0.975541935,6320.84
635,Refi,0.986315912,6320.84
635,Refi,1.310430851,21017.38
635,Refi,1.16636861,23425.14
635,Purchase,1.101985185,11782.93
635,Refi,0.962668174,6320.84
635,Purchase,1.133894884,25940.64
635,Refi,1.271301558,19130.86
635,Refi,1.302918455,19130.86
635,Purchase,1.044843584,11782.93
635,Purchase,0.977897854,8544.17
635,Refi,1.333400849,21017.38
635,Purchase,1.008833818,8544.17
635,Refi,1.164835714,23425.14
635,Refi,1.060689408,4645.55
636,Refi,1.40886431,21017.38
636,Refi,1.333213216,21017.38
636,Purchase,1.050749171,11782.93
636,Purchase,0.913361111,8544.17
636,Refi,0.960629014,6320.84
636,Purchase,1.102961983,11782.93
636,Purchase,1.198616316,25940.64
637,Refi,1.457482813,8268.5
637,Refi,1.455541562,8268.5
637,Purchase,0.972050704,8544.17
637,Refi,1.179223824,23425.14
637,Refi,1.114595804,23425.14
637,Purchase,0.745507347,6112.36
637,Purchase,1.077985507,11782.93
637,Purchase,1.131683284,25940.64
637,Refi,1.151699659,23425.14
638,Refi,1.270959742,19130.86
638,Purchase,1.197509877,25940.64
638,Purchase,1.340223714,8203.51
638,Refi,1.389878919,21017.38
638,Purchase,1.062713278,11782.93
638,Refi,1.011345455,4645.55
638,Purchase,1.232420339,13532.02
638,Purchase,1.388843421,8203.51
638,Purchase,0.825145622,522.82
638,Refi,1.112248175,23425.14
638,Refi,1.466612317,8268.5
638,Purchase,0.947355763,8544.17
638,Refi,1.271059919,19130.86
639,Purchase,1.034559889,11782.93
639,Purchase,1.260114587,13532.02
639,Purchase,0.960085246,8544.17
639,Refi,1.039928713,4645.55
639,Refi,0.887586191,4399.11
