Partner,Credit Score,Finance Type,LTV,Average Gross Revenue Binding
IFS Marketing Organic,602,Refi,1.427711647,1402.782
Credit Karma,602,Refi,1.373142043,1332.052353
Credit Karma,602,Refi,1.110953675,1449.41
IFS,602,Refi,1.125222331,1449.41
Credit Karma,602,Refi,1.353826598,1332.052353
IFS,602,Refi,1.293069637,1254.944545
Credit Karma,603,Refi,1.214426774,1254.944545
Credit Karma,603,Refi,1.355436212,1332.052353
Donlen,603,Purchase,1.214060743,2030.324
Credit Karma,603,Refi,1.134050806,1449.41
NerdWallet,603,Refi,1.259281404,1254.944545
Credit Karma,603,Refi,1.340920724,1332.052353
Element,603,Purchase,1.175156731,1836.214286
Credit Karma,603,Refi,1.171456354,1449.41
Natural Intelligence - Top 10 ,604,Refi,1.297977612,1254.944545
Credit Karma,604,Refi,1.344311823,1332.052353
Element,604,Purchase,1.261303797,2030.324
LeasePlan,604,Purchase,1.297771429,2030.324
HCA - Hyundai Kia,604,Purchase,1.436724694,2014.88
IFS,604,Refi,0.970064262,931.798
Credit Karma,604,Refi,1.194503817,1449.41
Credit Karma,605,Refi,1.060364878,1100.109375
Credit Karma,605,Refi,1.315321442,1332.052353
Credit Karma,605,Refi,1.174068787,1449.41
Credit Karma,605,Refi,1.03941896,1100.109375
NerdWallet,605,Refi,1.398240803,1332.052353
CarGurus - Avis,605,Purchase,1.118718663,1836.214286
Credit Karma,605,Refi,1.121634711,1449.41
Credit Karma,605,Refi,1.06714032,1100.109375
Credit Karma,605,Refi,1.173243314,1449.41
Credit Karma,605,Refi,1.02542134,1100.109375
Credit Karma,605,Refi,0.994217096,931.798
Credit Karma,605,Refi,1.059653743,1100.109375
Credit Karma,605,Refi,1.036118361,1100.109375
Credit Karma,605,Refi,0.935716935,931.798
Credit Karma,605,Refi,1.304679365,1254.944545
Fiserv GM Lease ,606,Purchase,1.059658058,2349.566
Credit Karma,606,Refi,1.053898627,1100.109375
IFS,606,Refi,1.518890874,1870
Credit Karma,606,Refi,1.13027449,1449.41
IFS,606,Refi,1.4,1332.052353
Credit Karma,606,Refi,0.709711744,548.3
Credit Karma,606,Refi,1.104703424,1100.109375
Credit Karma,606,Refi,1.317834197,1332.052353
Credit Karma,606,Refi,1.329423602,1332.052353
Credit Karma,606,Refi,1.438882412,1402.782
Credit Karma,607,Refi,0.95420832,931.798
Credit Karma,607,Refi,1.091216613,1100.109375
Credit Karma,607,Refi,1.143929468,1449.41
Lending Tree Lease,607,Purchase,1.210608955,2030.324
Credit Karma,607,Refi,1.34759744,1332.052353
Credit Karma,607,Refi,1.191719535,1449.41
LeasePlan,608,Purchase,0.931190647,1545.685
HCA - Hyundai Kia,608,Purchase,1.200684755,1836.214286
Credit Karma,608,Refi,1.069350788,1100.109375
IFS,608,Refi,1.037424974,1100.109375
Element,608,Purchase,1.094896306,2349.566
Credit Karma,608,Refi,1.294209445,1254.944545
IFS,608,Refi,1.193623093,1449.41
Element,608,Purchase,1.202125676,1836.214286
Credit Karma,608,Refi,1.331565031,1332.052353
Wheels,608,Purchase,1.154589799,1836.214286
Credit Karma,609,Refi,1.108973044,1100.109375
Credit Karma,609,Refi,1.284168794,1254.944545
Credit Karma,609,Refi,1.376370337,1332.052353
Natural Intelligence - Top 10 ,609,Refi,1.30899808,1254.944545
Credit Karma,609,Refi,1.6,1870
IFS,609,Refi,1.155959531,1449.41
Credit Karma,609,Refi,1.266502726,1254.944545
Credit Karma,609,Refi,1.18938012,1449.41
IFS,609,Purchase,0.947478585,1545.685
IFS,609,Refi,1.333694915,1332.052353
HCA - Hyundai Kia,609,Purchase,1.392913793,903.97
Chrysler Capital Lease,609,Purchase,0.956814639,1545.685
Credit Karma,609,Refi,1.352283204,1332.052353
Credit Karma,610,Refi,1.024481375,1100.109375
AVIS,610,Purchase,1.036324378,2349.566
Credit Karma,610,Refi,0.864252507,888.61
Fiserv GM Lease ,610,Purchase,0.691296923,1703.41
Credit Karma,610,Refi,1.179838462,1449.41
Wheels,610,Purchase,1.1794704,1836.214286
IFS,610,Refi,1.120860274,1449.41
Credit Karma,610,Refi,1.146856104,1449.41
Element,610,Purchase,0.951504925,1545.685
HCA - Hyundai Kia,611,Purchase,1.242226929,1952.977143
Credit Karma,611,Refi,1.329527485,1251.7625
Credit Karma,611,Refi,1.204068712,1209.29
NerdWallet,611,Refi,0.852455459,743.77
Avis Online App,611,Purchase,1.134194872,2292.538
Credit Karma,611,Refi,1.314933889,1251.7625
IFS,611,Refi,1.352455304,1251.7625
IFS Marketing Organic,611,Refi,1.143896471,1209.29
Element,611,Purchase,1.12664,2292.538
IFS,611,Refi,1.129822542,1209.29
IFS,611,Refi,1.507070707,1566.333
Credit Karma,611,Refi,1.144821264,1209.29
Credit Karma,611,Refi,1.422688177,1566.333
Chrysler Capital Lease,611,Purchase,1.216043357,1952.977143
Credit Karma,611,Refi,1.4,1251.7625
Element,611,Purchase,1.052212639,1312.543333
Credit Karma,612,Refi,1.384287395,1251.7625
